Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H2,2006,2006,2006,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,35764710,0
H2,2006,2006,2006,2,0,2,Export,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,343529289,0
H2,2007,2007,2007,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,72843665,0
H2,2008,2008,2008,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,87947898,0
H2,2008,2008,2008,2,0,2,Export,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,266569803,0
H2,2009,2009,2009,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,88078534,0
H2,2009,2009,2009,2,0,2,Export,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,100791663,0
H2,2010,2010,2010,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,67273024,0
H2,2010,2010,2010,2,0,2,Export,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,158571509,0
H2,2011,2011,2011,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,123193344,0
H2,2011,2011,2011,2,0,2,Export,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,204782464,0
H2,2012,2012,2012,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,287837174,0
H2,2012,2012,2012,2,0,2,Export,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,145671531,0
H2,2013,2013,2013,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,51930778,0
H2,2013,2013,2013,2,0,2,Export,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,66435308,0
H1,1996,1996,1996,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,57406712,0
H1,1996,1996,1996,2,0,2,Export,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,289245376,0
H1,1997,1997,1997,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,59960056,0
H1,1997,1997,1997,2,0,2,Export,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,249472832,0
H1,1998,1998,1998,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,51952232,0
H1,1998,1998,1998,2,0,2,Export,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,227130992,0
H1,1999,1999,1999,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,24554727,0
H1,1999,1999,1999,2,0,2,Export,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,257604954,0
H1,2000,2000,2000,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,0,0,23083552,0
H1,2000,2000,2000,2,0,2,Export,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,0,0,272151584,0
H1,2001,2001,2001,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,28017212,0
H1,2001,2001,2001,2,0,2,Export,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,266405922,0
H1,2002,2002,2002,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,13034614,0
H1,2002,2002,2002,2,0,2,Export,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,380088404,0
H1,2003,2003,2003,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,11085181,0
H1,2003,2003,2003,2,0,2,Export,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,281371390,0
H1,2004,2004,2004,2,0,2,Export,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,638752538,0
H1,2004,2004,2004,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,34041275,0
H1,2005,2005,2005,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,43027593,0
H1,2005,2005,2005,2,0,2,Export,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,649762302,0
H0,1994,1994,1994,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,35412176,0
H0,1994,1994,1994,2,0,2,Export,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,244161040,0
H0,1995,1995,1995,2,0,1,Import,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,52781432,0
H0,1995,1995,1995,2,0,2,Export,862,Venezuela,VEN,842,USA,USA,72,Iron and steel,1,No Quantity,,,193964272,0
